"id","date","crypto","url","url_mobile","title","seendate","socialimage","domain","language","sourcecountry","finbert_positive","finbert_negative","final_finbert","fama_french"
27,"2022-07-05 10:27:45.275151+02","cardano","https://www.businesstoday.in/crypto/story/crypto-markets-in-red-solana-dogecoin-rises-marginally-340165-2022-07-04","https://www.businesstoday.in/amp/crypto/story/crypto-markets-in-red-solana-dogecoin-rises-marginally-340165-2022-07-04","Crypto markets in red ; Solana , Dogecoin rise marginally","20220704T074500Z","https://akm-img-a-in.tosshub.com/businesstoday/images/story/202207/markets-sixteen_nine.jpg","businesstoday.in","English","India",0.959,0.002,2,0
28,"2022-07-05 10:28:53.088844+02","binance coin","https://www.albawaba.com/business/crypto-prices-today-bitcoin-trading-19k-1482862","https://www.albawaba.com/amp/business/crypto-prices-today-bitcoin-trading-19k-1482862","Crypto Prices Today : Bitcoin Trading at $19K","20220703T203000Z","https://www.albawaba.com/sites/default/files/styles/default/public/2022-07/shutterstock_1953800572.jpg?itok=D0dpqjg1","albawaba.com","English","Israel",0.983,0.001,2,0
29,"2022-07-05 10:28:53.090842+02","binance coin","https://www.albawaba.com/business/crypto-prices-today-bitcoin-holds-19k-levels-1483015","https://www.albawaba.com/amp/business/crypto-prices-today-bitcoin-holds-19k-levels-1483015","Crypto Prices Today : Bitcoin Holds On to $19K Levels","20220704T221500Z","https://www.albawaba.com/sites/default/files/styles/default/public/2022-07/shutterstock_650811631.jpg?itok=HX_Z4340","albawaba.com","English","Israel",0.989,0.002,2,0
30,"2022-07-05 10:28:53.091842+02","binance coin","https://www.economywatch.com/news/next-cryptocurrency-to-explode","","Next Cryptocurrency to Explode - Economy Watch","20220704T160000Z","https://www.economywatch.com/wp-content/uploads/2022/06/next-cryptocurrency-to-explode.jpg","economywatch.com","English","China",0.004,0.003,0.004,0
31,"2022-07-05 10:28:53.092842+02","binance coin","https://www.coinspeaker.com/bitcoin-is-dead-trending-across-social-networks-gnox-binance-coin-uniswap-continue-gain-investors/","https://www.coinspeaker.com/bitcoin-is-dead-trending-across-social-networks-gnox-binance-coin-uniswap-continue-gain-investors/amp/","  Bitcoin Is Dead  Is Trending Across Social Networks , while Top BSC Projects , Gnox ( GNOX ), Binance Coin ( BNB ), and Uniswap ( UNI ) Continue to Gain Investors","20220704T103000Z","https://www.coinspeaker.com/wp-content/uploads/2022/07/bitcoin-is-dead-trending-across-social-networks-gnox-binance-coin-uniswap-continue-gain-investors.png","coinspeaker.com","English","United States",0.773,0.017,0.773,0
32,"2022-07-05 10:28:53.093842+02","binance coin","https://www.pulse.com.gh/business/local/top-5-crypto-trading-platforms-in-ghana-2022/49nz185","https://www.pulse.com.gh/business/local/top-5-crypto-trading-platforms-in-ghana-2022/49nz185.amp","Top 5 crypto trading platforms in Ghana 2022","20220704T164500Z","https://ocdn.eu/pulscms-transforms/1/8XbktkuTURBXy80Y2QxNzY2ZS1lYjIzLTRlMjctYmYwOS0xNDhiZTlhZjg4OTEuanBlZ5KVAwDNASTNFFDNC22TBc0EsM0Cdg","pulse.com.gh","English","Ghana",0.467,0.003,0.467,0
33,"2022-07-05 10:28:53.094865+02","binance coin","https://www.hawaiiarmyweekly.com/business/best-crypto-exchanges-for-trading-altcoins/","","Best Crypto Exchanges for Trading Altcoins","20220704T161500Z","","hawaiiarmyweekly.com","English","United States",0.988,0.002,2,0
34,"2022-07-05 10:28:53.09637+02","binance coin","https://moneyweek.com/investments/alternative-finance/bitcoin-crypto/605059/changpeng-zhao-profile","https://moneyweek.com/investments/alternative-finance/bitcoin-crypto/605059/changpeng-zhao-profile?amp","Changpeng Zhao : Binance founder undaunted by the crypto winter","20220703T064500Z","https://media.moneyweek.com/image/private/s--X-WVjvBW--/f_auto,t_content-image-full-desktop@1/v1656680744/editorial/2022/1110-Changpeng-Zhao.jpg","moneyweek.com","English","United Kingdom",0.007,0.002,0.007,0
35,"2022-07-05 10:31:30.400034+02","litecoin","https://ithelp.ithome.com.tw/questions/10209218","","Traders Union - How Crypto Is Going So Far - iT 邦幫忙 :: 一起幫忙解決難題 ， 拯救 IT 人的一天","20220703T144500Z","https://ithelp.ithome.com.tw/storage/image/fbpic.jpg","ithelp.ithome.com.tw","English","Taiwan",0.004,0.004,-0.004,0
36,"2022-07-05 10:31:30.401034+02","litecoin","https://www.hawaiiarmyweekly.com/business/best-crypto-exchanges-for-trading-altcoins/","","Best Crypto Exchanges for Trading Altcoins","20220704T161500Z","","hawaiiarmyweekly.com","English","United States",0.988,0.002,2,0
